Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Provoked,United States,Florida,Fishing,M,30,No,January,2023,Mako Shark,Hand / Fingers
Provoked,Maldives,Vaavu Atoll,Diving,F,30,No,January,2023,Nurse Shark,Shoulder
Provoked,South Africa,KNZ,Diving,M,26,No,December,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,M,68,No,December,2022,Tiger Shark,Hand / Fingers
Unprovoked,Australia,New South Wales,Swimming,M,15,No,December,2022,Unknown,Leg / Foot
Unprovoked,United States,Samoa,Diving,M,43,No,December,2022,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Diving,F,60,Yes,December,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Texas,Surfing,M,,No,December,2022,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,10,No,November,2022,Unknown,Leg / Foot
Unprovoked,United States,California,Swimming,F,50,No,November,2022,Great White Shark,Leg / Foot
Provoked,United States,Florida,Fishing,M,29,No,November,2022,Unknown,Leg / Foot
Unprovoked,United States,California,Surfing,M,,No,October,2022,Unknown,Unspecified / Multiple
Sea Disaster,United States,Louisiana,Fishing,M,40,No,October,2022,Unknown,Hand / Fingers
Unprovoked,Bahamas,,Diving,M,,No,October,2022,Unknown,Body / Abdomen
Provoked,United States,Mississippi,Fishing,M,,No,October,2022,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Diving,M,51,No,October,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,19,No,October,2022,Great White Shark,Unspecified / Multiple
Provoked,United States,Florida,Fishing,M,15,No,October,2022,Nurse Shark,Leg / Foot
Unprovoked,United States,Louisiana,Other,M,40,No,October,2022,Unknown,Hand / Fingers
Unprovoked,Australia,Western Australia,Fishing,M,38,No,October,2022,Bull Shark,Arm
Unprovoked,Australia,Victoria,Surfing,M,17,No,October,2022,Unknown,Leg / Foot
Unprovoked,United States,California,Surfing,M,31,No,October,2022,Great White Shark,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Swimming,F,39,Yes,September,2022,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Fishing,M,26,No,September,2022,Unknown,Arm
Unprovoked,Bahamas,,Diving,F,58,Yes,September,2022,Bull Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,F,51,No,September,2022,Unknown,Arm
Unprovoked,Australia,New South Wales,Surfing,M,14,No,August,2022,Unknown,Arm
Unprovoked,Australia,New South Wales,Boating,M,,No,August,2022,Great White Shark,Unspecified / Multiple
Unprovoked,United States,South Carolina,Swimming,F,,No,August,2022,Unknown,Leg / Foot
Unprovoked,United States,South Carolina,Other,F,,No,August,2022,Blacktip Shark,Arm
Unprovoked,Australia,Western Australia,Fishing,M,17,No,August,2022,Great White Shark,Leg / Foot
Unprovoked,United States,Florida,Diving,M,10,No,August,2022,Bull Shark,Leg / Foot
Unprovoked,United States,California,Swimming,M,,No,August,2022,Unknown,Unspecified / Multiple
Unprovoked,Greenland,Cornwall,Diving,F,,No,July,2022,Blue Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,13,No,July,2022,Nurse Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,33,No,July,2022,Blacktip Shark,Leg / Foot
Unprovoked,United States,New York,Surfing,M,16,No,July,2022,Great White Shark,Leg / Foot
Unconfirmed,United States,Florida,Unknown,,,No,July,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,North Carolina,Surfing,F,,No,July,2022,Unknown,Leg / Foot
